"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.60450797971424e-64,0.916301803283404,0.768,0.545,1.09998080402141e-59,"0","SEC61G"
1.02865763119453e-63,0.648994663558512,0.939,0.869,1.7132292847545e-59,"0","ITM2B"
4.01029094163041e-63,1.80482631620926,0.374,0.139,6.67913956328545e-59,"0","HEXB"
1.90407039022304e-62,1.63886212534315,0.428,0.179,3.17122923491648e-58,"0","SAT2"
2.0029069176636e-62,0.740152960516337,0.87,0.735,3.33584147136872e-58,"0","COX6B1"
2.30138862803869e-62,1.24307545455961,0.608,0.353,3.83296275999844e-58,"0","PGAM1"
3.81785454731611e-62,1.09684500913779,0.579,0.303,6.35863674855498e-58,"0","CD63"
4.67874584776989e-62,1.41582022921365,0.539,0.286,7.79245120946075e-58,"0","EVI2A"
4.18761071613295e-61,1.68976576639939,0.406,0.165,6.97446564771942e-57,"0","MIDN"
6.93924887624985e-61,1.9779385383782,0.337,0.119,1.15573190033941e-56,"0","UBE2D1"
7.18842173464755e-61,1.20790774051897,0.617,0.357,1.19723163990555e-56,"0","GLRX"
9.38555391155504e-61,0.995922509644113,0.748,0.514,1.56316400396949e-56,"0","TPI1"
9.12532058631955e-60,2.25206601884393,0.26,0.073,1.51982214365152e-55,"0","MGST2"
1.43629696756659e-59,1.90676263340921,0.274,0.078,2.39215259948216e-55,"0","AOAH"
7.89319890913557e-59,1.91315670539424,0.306,0.099,1.31461227831653e-54,"0","CD83"
9.84820424563114e-59,1.75519159888221,0.463,0.227,1.64021841710987e-54,"0","RP11-386I14.4"
4.49103177704669e-58,1.45019306011003,0.486,0.237,7.47981342467126e-54,"0","C20orf24"
8.23717871061526e-58,1.52176428956559,0.414,0.172,1.37190211425297e-53,"0","TNFRSF1B"
1.46812650135089e-57,0.784162080749791,0.831,0.662,2.44516468799991e-53,"0","SERP1"
1.63159525814136e-57,1.31460526248173,0.518,0.264,2.71742190243444e-53,"0","CLTA"
