"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.79010466168215,0.547,0.006,0,"10","CDKN1C"
1.97107363542674e-153,6.47590121000624,0.27,0.005,3.28282313980324e-149,"10","C1QA"
3.98528396549714e-292,5.50589918093732,0.613,0.018,6.63749044453549e-288,"10","HES4"
8.47862425542406e-129,4.94538710093381,0.314,0.012,1.41211486974088e-124,"10","MS4A4A"
3.26210378511037e-219,4.90582846435749,0.898,0.086,5.43303385410132e-215,"10","FCGR3A"
2.31815674228479e-123,4.75841863233648,0.292,0.01,3.86089005427531e-119,"10","ICAM4"
9.48509797928399e-114,4.68088382448794,0.277,0.01,1.57974306844975e-109,"10","CTD-2006K23.1"
3.6322992729963e-207,4.48931881540479,0.591,0.029,6.04959443917533e-203,"10","TCF7L2"
1.19119517297142e-142,4.48612597238361,0.387,0.017,1.9839355605839e-138,"10","CTSL"
2.13157438966341e-96,4.23555985846398,0.27,0.012,3.55013714598442e-92,"10","NEURL1"
0,6.77165990432978,0.867,0.027,0,"11","FCER1A"
0,6.67367291344358,0.567,0.007,0,"11","ENHO"
1.61261649915627e-269,5.96568008976886,0.656,0.017,2.68581277934477e-265,"11","CLEC10A"
3.34659929676678e-161,5.91731256148676,0.267,0.003,5.57376112876507e-157,"11","PKIB"
2.72585420538934e-176,5.77319666563915,0.333,0.005,4.53991017907595e-172,"11","FLT3"
5.49271721093165e-190,5.31804756826858,0.389,0.007,9.14812051480667e-186,"11","CLIC2"
3.41745882360293e-151,4.15319702081678,0.511,0.021,5.69177767071067e-147,"11","UPK3A"
2.97932916351629e-127,3.95245688281881,0.589,0.036,4.96207272183638e-123,"11","CD1C"
5.2467011773972e-74,3.9003609481172,0.322,0.018,8.73838081095503e-70,"11","BATF3"
1.58537871120741e-83,3.78226307542845,0.3,0.013,2.64044824351594e-79,"11","GAS6"
0,12.6189400619855,0.649,0,0,"12","RP11-73G16.2"
0,12.1564025158728,0.514,0,0,"12","ASIP"
2.05870752962027e-251,11.3880108793471,0.27,0,3.42877739058256e-247,"12","RP11-71G12.1"
2.09746502497065e-276,11.2346242980498,0.297,0,3.49332799908862e-272,"12","NLRP7"
2.09746502497065e-276,11.2271401614438,0.297,0,3.49332799908862e-272,"12","AC011893.3"
2.05870752962027e-251,11.1524800463756,0.27,0,3.42877739058256e-247,"12","SLC12A3"
0,10.7579778226194,0.973,0.002,0,"12","LRRC26"
0,10.7119946634811,0.838,0.002,0,"12","SCT"
2.5006720068982e-253,10.0097859421299,0.297,0,4.16486922748894e-249,"12","TTC39A"
5.50595293403243e-278,9.62447889021976,0.324,0,9.17016461163101e-274,"12","EPHB1"
